"","chrnr","epinr","jnr","matr","resultat","prvdato","region","ugenr"
"19631",10346,2,"A2668287","772","POS",1998-03-25,"R2",13
"19635",10251,12,"A2668292","772","POS",1998-03-24,"R2",13
"19643",10379,2,"A2668489","772","POS",1998-03-26,"R1",13
"19647",10603,3,"A2667737","772","POS",1998-03-13,"R3",11
"19655",10127,5,"A2667924","772","POS",1998-03-17,"R4",12
"19660",10248,6,"A2667961","772","POS",1998-03-18,"R8",12
"19664",10209,3,"A2667989","772","POS",1998-03-18,"R1",12
"19669",10156,3,"A2682925","772","NEG",1998-12-02,NA,49
"19673",10603,3,"A2682932","772","NEG",1998-12-02,"R3",49
"19697",10153,3,"A2667572","772","POS",1998-03-12,"R3",11
"19701",10177,1,"A2667589","772","POS",1998-03-11,NA,11
"19709",10246,1,"A2667712","772","POS",1998-03-16,"R3",12
"19713",10153,6,"A2667722","772","POS",1998-03-13,"R3",11
"19717",10603,4,"A2667726","772","POS",1998-03-12,"R3",11
"19721",10089,5,"A2667416","772","POS",1998-03-05,NA,10
"19725",10089,8,"A2667420","772","POS",1998-03-06,NA,10
"19733",10171,4,"A2667535","772","POS",1998-03-11,"R5",11
"19741",10089,1,"A2667562","772","POS",1998-03-13,NA,11
"19745",10210,3,"A2667255","772","POS",1998-03-05,NA,10
"19749",10245,4,"A2667261","772","POS",1998-03-03,"R4",10
"19753",10094,2,"A2667270","772","POS",1998-03-04,"R7",10
"19757",10233,1,"A2667299","772","POS",1998-03-03,"R6",10
"19764",10089,3,"A2667407","772","POS",1998-03-09,NA,11
"19768",10211,5,"A2666895","772","POS",1998-02-24,"R1",9
"19772",10233,2,"A2667050","772","POS",1998-03-02,"R6",10
"19776",10233,8,"A2667054","772","POS",1998-03-02,"R6",10
"19780",10306,1,"A2667070","772","POS",1998-02-27,"R3",9
"19784",10143,5,"A2667245","772","POS",1998-03-04,"R3",10
"19788",10015,1,"A2667249","772","POS",1998-03-04,NA,10
"19792",10597,2,"A2666700","772","POS",1998-02-20,"R6",8
"19799",10548,6,"A2666842","772","POS",1998-02-26,"R2",9
"19803",10175,1,"A2666850","772","POS",1998-02-26,"R2",9
"19807",10243,2,"A2666865","772","POS",1998-02-24,"R3",9
"19811",10187,2,"A2666886","772","POS",1998-02-24,"R8",9
"19815",10211,2,"A2666894","772","POS",1998-02-24,"R1",9
"19819",10226,6,"A2666319","772","POS",1998-02-16,NA,8
"19823",10110,2,"A2666519","772","POS",1998-02-17,"R3",8
"19827",10120,16,"A2666528","772","POS",1998-02-18,"R3",8
"19831",10178,1,"A2666563","772","POS",1998-02-17,NA,8
"19835",10548,1,"A2666691","772","POS",1998-02-20,"R2",8
"19839",10597,2,"A2666699","772","POS",1998-02-19,"R6",8
"19843",10131,2,"A2665955","772","POS",1998-02-06,"R3",6
"19851",10178,2,"A2666112","772","POS",1998-02-11,NA,7
"19859",10120,9,"A2666124","772","POS",1998-02-11,"R3",7
"19863",10252,5,"A2666146","772","POS",1998-02-11,"R3",7
"19867",10251,10,"A2665640","772","POS",1998-01-30,"R2",5
"19871",10227,2,"A2665781","772","POS",1998-02-04,"R1",6
"19875",10131,3,"A2665788","772","POS",1998-02-02,"R3",6
"19879",10505,3,"A2665805","772","POS",1998-02-03,NA,6
"19883",10199,8,"A2665812","772","POS",1998-02-03,"R5",6
"19887",10563,4,"A2665886","772","POS",1998-02-05,"R5",6
"19895",10332,1,"A2665448","772","POS",1998-01-27,"R3",5
"19899",10467,1,"A2665460","772","POS",1998-01-27,NA,5
"19903",10567,1,"A2665466","772","POS",1998-01-26,"R7",5
"19907",10467,1,"A2665610","772","POS",1998-01-30,NA,5
"19911",10327,1,"A2665630","772","POS",1998-02-02,"R8",6
"19935",10251,11,"A2665401","772","POS",1998-01-29,"R2",5
"19939",10456,2,"A2682885","772","NEG",1998-12-02,"R5",49
"19943",10143,4,"A2682893","772","NEG",1998-12-03,"R3",49
"19952",10610,3,"A2682883","772","NEG",1998-12-01,"R5",49
"19956",10485,1,"A2682914","772","NEG",1998-12-03,"R5",49
"19960",10485,3,"A2682921","772","NEG",1998-12-04,"R5",49
"19972",10434,1,"A2682855","772","NEG",1998-12-02,"R3",49
"19976",10300,13,"A2682861","772","NEG",1998-12-03,"R4",49
"19980",10154,3,"A2682872","772","NEG",1998-12-03,"R1",49
"19988",10186,3,"A2682881","772","NEG",1998-12-01,"R6",49
"20037",10603,2,"A2682766","772","NEG",1998-11-27,"R3",48
"20041",10077,1,"A2682770","772","NEG",1998-11-27,"R2",48
"20050",10133,1,"A2682648","772","NEG",1998-11-27,"R5",48
"20054",10491,1,"A2682654","772","NEG",1998-11-27,NA,48
"20058",10394,11,"A2682661","772","NEG",1998-11-30,"R4",49
"20062",10434,2,"A2682668","772","NEG",1998-11-27,"R3",48
"20066",10199,8,"A2682559","772","NEG",1998-11-26,"R5",48
"20070",10141,2,"A2682525","772","NEG",1998-11-24,"R5",48
"20074",10141,6,"A2682529","772","NEG",1998-11-25,"R5",48
"20078",10214,1,"A2682538","772","NEG",1998-11-25,"R5",48
"20082",10159,10,"A2682542","772","NEG",1998-11-24,NA,48
"20086",10609,4,"A2682549","772","NEG",1998-11-24,"R2",48
"20090",10238,1,"A2682553","772","NEG",1998-11-24,NA,48
"20094",10199,8,"A2682558","772","NEG",1998-11-25,"R5",48
"20098",10491,1,"A2682485","772","NEG",1998-11-26,NA,48
"20102",10243,1,"A2682490","772","NEG",1998-11-25,"R3",48
"20106",10236,3,"A2682495","772","NEG",1998-11-26,NA,48
"20110",10127,6,"A2682501","772","NEG",1998-11-24,"R4",48
"20114",10140,2,"A2682510","772","NEG",1998-11-25,"R4",48
"20118",10394,11,"A2682516","772","NEG",1998-11-24,"R4",48
"20122",10116,6,"A2682233","772","NEG",1998-11-19,NA,47
"20126",10404,2,"A2682237","772","NEG",1998-11-19,"R1",47
"20130",10140,3,"A2682242","772","NEG",1998-11-20,"R4",47
"20134",10196,1,"A2682247","772","NEG",1998-11-23,"R3",48
